UniqueID,Company,InventoryLocation,Item,GeneralLedgerCategory,Buyer,DefaultTransactionUOM.UnitOfMeasure,DefaultTransactionUOM.Item,DefaultTransactionUOM.ItemType,DefaultTransactionUOM.ContractLine,DefaultTransactionUOM.TrackedIn,DefaultTransactionUOM.UOMConversion,DefaultTransactionUOM.PackingWeight,DefaultTransactionUOM.PackingVolume,PurchaseTaxable,PurchaseTaxCode,TaxableWhenSold,SellTaxCode,StandardCost,FutureStandardCost,StockOnHandQuantity,SecondaryQuantity,AllocatedQuantity,UnallocatedQuantity,BackorderedQuantity,InProcessQuantity,OnOrderQuantity,IntransitQuantity,WorkInProgressQuantity,InspectionHoldQuantity,MovementClass,MovementRank,StorageCode,PreferredBin,MinimumOrderQuantity,MaximumOrderQuantity,ReorderPolicy,ReorderDocument,ReorderQuantityCode,ReorderPointCode,ReorderQuantity,ReorderPoint,SuggestedReorderPoint,LeadtimeControl,LeadtimeDays,LastLeadtime,PreviousLeadtime,AutomaticPurchaseOrder,OrderMultiple,EconomicOrderQuantity,SafetyStock,Manufacturer.ManufacturerCode,Manufacturer.ManufacturerDivision,ManufacturerNumber,SelectForSpecialCycleCount,LastCountDate,ForecastNumber.ForecastYear,ForecastNumber.ForecastNumber,ForecastNumber.Quarter,PatientChargeable,InventoryTracked,BinTracked,AllowReceipt,AllowIssue,InspectionRequired,HasTransactionActivity,FrozenForPhysicalInventory,FreezeDate,LastIssueDate,LastUpdateDate,TransactionCounter,LastReceiptDate,LastTurnoverCalculationDate,MSDSDate,MSDSOrder,MSDSDocument,MSDSVersion,AverageStockOnHandQuantity,TurnoverRate,LastReceiptCost,LastIssueCost,AverageAddOnCost,AverageCost,OverheadUnitCost,MarketPrice,TransactionCount,CountAccuracy,AddedDate,Active,UserField1,UserField2,UserField3,UserFieldN1,UserFieldN2,UserFieldN3,ReceivingDays,Consignment,NoCharge,LotTracked,SerialTracked,UDITracked,DropshipPurchaseOrderForCustomerOrderLine,CreatePurchaseOrderForCustomerOrderLine,MaximumSaleQuantity,MinimumSaleQuantity,AllowCustomerOrderReturns,CustomerOrderReturnDate,DefaultSourceUOM.UnitOfMeasure,DefaultSourceUOM.Item,DefaultSourceUOM.ItemType,DefaultSourceUOM.ContractLine,DefaultSourceUOM.TrackedIn,DefaultSourceUOM.UOMConversion,DefaultSourceUOM.PackingWeight,DefaultSourceUOM.PackingVolume,GeographicalType,GeographicalLatitude,GeographicalLongitude,GeographicalAltitude,GeographicalDate,GlobalLineType,ChargeNumber,PreferredHoldBin,MaximumRequisitionQuantity,FromWorksheetResult,NumberOfBins,ManufacturerNumberStripped,ALLOCATION,DELETEDATE,DELETEFROMSTOCK,PARCOUNT,UserFieldMonMax,UserFieldMonRemain,VALUEANALYSISAPPROVED
67422ead-a680-ab2e-0000-154e5b92cde4,1,11S,249,,0,EA,249,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,17,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 11:37:42.00 AM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,249,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
67422ead-a680-196e-0000-0c935b92cde4,1,11W,251,,0,EA,251,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,10,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 11:50:45.00 AM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,251,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
67422ead-a680-196e-0000-0e505b92cde4,1,12E,252,,0,EA,252,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,18,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 11:53:23.00 AM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,252,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
67422ead-a680-3fae-0000-0f195b92cde4,1,12N,254,,0,EA,254,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,12,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 11:58:17.00 AM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,254,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
67422ead-a680-3fae-0000-10af5b92cde4,1,12S,256,,0,EA,256,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,28,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 12:02:09.00 PM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,256,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
67422ead-a680-3fae-0000-127d5b92cde4,1,12W,258,,0,EA,258,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,15,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 12:17:23.00 PM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,258,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
67422ead-a680-3fae-0000-0e925b92cde4,1,14E,253,,0,EA,253,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,16,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 11:55:20.00 AM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,253,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
67422ead-a680-3fae-0000-0f9c5b92cde4,1,14N,255,,0,EA,255,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,10,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 12:00:31.00 PM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,255,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
67422ead-a680-01ce-0000-23315b92cde4,1,14S,257,,0,EA,257,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,15,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 12:13:34.00 PM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,257,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
67422ead-a680-5ebe-0000-03bf5b92cde4,1,14W,259,,0,EA,259,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,17,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 15:49:39.00 PM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,259,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
